ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
254	167,138,166	3,5,3	143,112,129	4,2,3	236	99
255	43,55,46	156,179,197	39,25,31	190,236,164	210	99
256	16,18,5	128,112,99	7,6,16	108,106,124	282	99
257	17,20,28	3570,3459,3470	53,48,60	1784,1750,1743	420	99
258	93,91,84	20,21,20	44,29,59	22,20,22	348	99
259	160,215,123	0,4,4	75,70,111	2,2,6	2097	99
260	118,85,109	93,63,52	95,88,96	80,81,88	183	99
262	3209,2810,3049	21,22,12	3430,3224,3085	23,26,16	5861	99
263	57,51,64	140,122,153	35,39,24	173,145,153	231	99
264	20292,20152,20793	3,3,0	38832,39033,39735	2,5,2	1079	99
265	284,286,252	7,6,3	326,281,292	0,10,3	201	99
266	12,12,29	21,16,14	16,9,13	19,20,18	366	99
268	49,53,36	570,466,538	92,87,94	260,279,275	183	99
269	66,49,55	0,0,0	119,101,109	0,3,0	151	99
270	25,32,28	0,0,0	68,56,54	1,0,0	309	99
271	271,225,226	1,4,3	507,407,501	3,0,2	431	99
