transcript_id	value_1	value_2	value_3	log2FC	p_value	DEI	sample_pair	Gene_Id
ENST00000341184	0.077650805	0.07619031	0.072691852	-1.249688978	1.49961E-06	down-regulate	F7/D6	F7-MGAT3
ENST00000276914	0.149093537	0.150863985	0.167613044	-0.98203766	2.19595E-05	non-DEI	F7/D6	F7-PLIN2
ENST00000313683	0.000361679	0.000333565	0.000381862	-5.180439031	0.003623964	down-regulate	F7/D6	F7-PNMA8A
ENST00000299572		0.02335285	0.019612187	0.068951331	0.686113997	non-DEI	F7/D6	F7-CENPN
ENST00000334512	0.038977379	0.037121376	0.040602658	0.517120852	0.000381536	non-DEI	F7/D6	F7-ZMIZ1
ENST00000376759	0.061591137	0.074043864	0.068604594	0.216839387	0.075485318	non-DEI	F7/D6	F7-RBM3
ENST00000264433	0.09663073	0.085921199	0.089311742	-0.557108585	0.002405409	non-DEI	F7/D6	F7-FNIP2
ENST00000254799	0.034004603	0.033808217	0.032485606	0.197553668	0.004698358	non-DEI	F7/D6	F7-GRSF1
ENST00000588361	0.028761322	0.028430787	0.030015086	0.554291858	0.006634171	non-DEI	F7/D6	F7-KDM4B
ENST00000322128	0.027730871	0.0284359	0.02093463	-1.29898092	0.00026438	down-regulate	F7/D6	F7-TSPYL5
ENST00000377507	0.016560094	0.016351459	0.015946722	-2.382307306	0.000326964	down-regulate	D5/D6	D5-TNFRSF9
ENST00000005260	0.070035785	0.069077587	0.068159166	0.344754859	4.25529E-05	non-DEI	D5/D6	D5-BAIAP2L1
ENST00000357878	0.087178828	0.100269542	0.103033793	1.190771308	0.000428349	up-regulate	D5/D6	D5-HMX3
ENST00000335661	0.312703733	0.320839219	0.315854026	0.115237018	0.006879459	non-DEI	D5/D6	D5-BCL2A1
ENST00000321870	0.00012041	0.000119303	0.000117439	-2.646269765	0.041867427	down-regulate	D5/D6	D5-BHLHE22
ENST00000256447	0.062941389	0.058165402	0.06039085	-2.012108629	5.59178E-07	down-regulate	D5/D6	D5-CD180
ENST00000329759	0.151110711	0.139762467	0.148527325	0.941982058	3.66469E-05	non-DEI	D5/D6	D5-FAM43A
ENST00000255695	0.011325263	0.011198929	0.01058765	1.107018274	1.49282E-05	up-regulate	D5/D6	D5-PLAAT2
ENST00000313104	0.556343925	0.586123529	0.580307519	1.307795033	0.000629079	up-regulate	D5/D6	D5-RPLPO
ENST00000455959	0.043433635	0.038262076	0.041164728	0.370850514	0.00682943	non-DEI	D5/D6	D5-SEC11A
ENST00000367495	0.008052	0.007169168	0.007110841	-1.191588416	0.000159457	down-regulate	D5/D6	D5-RAB32
ENST00000379287	0.274958212		0.280412713	0.609744552	0.002401115	non-DEI	D5/D6	D5-GFOD1
ENST00000370078	0.103948242	0.124635393	0.123925912	0.480753978	0.00934031	non-DEI	D5/D6	D5-PRM76
ENST00000427159	0.215858734		0.185054474	0.347368642	0.115865565	non-DEI	D5/D6	D5-FTSJ3
ENST00000380752	0.199515924	0.227394585	0.245951892	0.175350636	0.216328328	non-DEI	D5/D6	D5-SLC7A1
ENST00000311177	0.054029111	0.048423373	0.051702897	0.616475017	0.005942754	non-DEI	D5/D6	D5-HOXB9
ENST00000381077	0.160024132	0.143606735	0.133985003	-0.49436045	0.042173721	non-DEI	D5/D6	D5-PUDP
ENSG00000021355	0.107304131	0.131140678	0.111622995	-1.021647619	0.005364834	down-regulate	D5/D6	D5-SERPINB1
ENST00000314133	0.799505208	0.757712214	0.821230127	-0.263111931	0.023169826	non-DEI	D5/D6	D5-COX8A
ENST00000241261	0.084147364	0.083120512	0.084802263	-1.544948817	0.000906517	down-regulate	D5/D6	D5-TNFSF10
ENST00000407280	3.752951748	3.587477776	3.44397527	-0.17763418	0.054989559	non-DEI	D5/D6	D5-IFI30
ENST00000367029	0.122041087	0.121118619	0.128530622	-3.343672023	0.001021472	down-regulate	D5/D6	D5-G0S2
ENST00000291232	1.873169352	1.59801714	1.471476322	0.023183456	0.839792896	non-DEI	D5/D6	D5-TNFRSF13C
ENST00000266557	0.662983727	0.7514413	0.636489836	-0.253413374	0.037160815	non-DEI	D5/D6	D5-CD27
ENST00000248958	0.072432163		0.077067026	-0.841076216	0.00033905	non-DEI	D5/D6	D5-SDF2L1
ENST00000341184	0.082441534	0.078433917	0.084155819	-0.146631444	0.007571507	non-DEI	D5/D6	D5-MGAT3
ENST00000257527	0.023381333	0.019020224	0.018575589	-0.649471071	0.002078999	non-DEI	D5/D6	D5-ADAM19
ENST00000569669	0.18219271	0.160685999	0.163587669	0.583108797	0.002026499	non-DEI	D5/D6	D5-BOP1
ENST00000005257	0.035037157	0.038795847	0.040252148	-0.55378977	0.019081836	non-DEI	D5/D6	D5-RALA
ENST00000361314	0.021082057	0.01926477	0.019684271	-0.429699957	0.000381277	non-DEI	D5/D6	D5-GPX7
ENST00000327535	0.03830454	0.042750512	0.038463274	0.316906821	0.011524478	non-DEI	D5/D6	D5-IFNLR1
ENST00000367511	0.414020373	0.355274412	0.306429839	-0.618837697	0.006017093	non-DEI	D5/D6	D5-NIBAN1
ENST00000552695	0.056832264	0.04910617	0.050925251	-0.743367914	0.024733863	non-DEI	D5/D6	D5-FICD
ENST00000261837	0.022550997	0.023520012	0.025008299	0.003079437	0.97403345	non-DEI	D5/D6	D5-GNB5
ENST00000275072	0.127790351	0.145165711	0.121546112	1.050000594	0.001391371	up-regulate	D5/D6	D5-PM20D2
ENST00000302754	0.5111783	0.504999127	0.523974945	-0.934774816	0.00515979	non-DEI	D5/D6	D5-JUNB
ENST00000313401	0.67109955	0.566605341	0.471315918	1.244200145	0.026911033	up-regulate	D5/D6	D5-CDK5R1
ENST00000302165		2.99051E-05	3.38342E-05	1.648106025	0.001474428	up-regulate	D5/D6	D5-IRF2BP1
ENST00000597705	0.026258079	0.025592729	0.024234776	1.13129153	2.23864E-05	up-regulate	D5/D6	D5-C19orf48P
ENST00000380861	0.019835948	0.020165786	0.019846021	-2.142002448	0.000765527	down-regulate	D5/D6	D5-WWC3
ENST00000372733	0.01903187	0.01763395	0.019800001	-0.942833376	1.13752E-05	non-DEI	D5/D6	D5-SDC4
ENST00000390556	0.108251972	0.102329376	0.106536428	-2.962083257	0.010547318	down-regulate	D5/D6	D5-IGHD
ENST00000417314	0.063189352	0.050944375	0.065016582	0.599334442	0.012099351	non-DEI	D5/D6	D5-KBTBD8
ENST00000310597		0.051122969	0.043934875	-0.000521269	0.996963732	non-DEI	D5/D6	D5-ZNHIT2
ENST00000336735	0.304358591	0.348610212	0.368448292	-0.708786892	0.000707363	non-DEI	D5/D6	D5-SEL1L
ENST00000557434	0.035479988	0.033690824	0.030264847	0.095828597	0.363855312	non-DEI	D5/D6	D5-LGMN
ENST00000332503	0.202999322	0.240139415	0.186021547	0.815454327	0.005216576	non-DEI	D5/D6	D5-HOBX4
ENST00000247225	0.526939191	0.509428911	0.611990901	0.799713457	0.001978378	non-DEI	D5/D6	D5-SGPP1
ENST00000381938	0.277831989	0.212907	0.231154678	0.428631099	0.035435434	non-DEI	D5/D6	D5-TMEM156
ENST00000261867	0.00440914	0.005279434	0.004958685	-1.411958309	1.79703E-05	down-regulate	D5/D6	D5-SLC30A4
ENST00000379607	0.135214992	0.127258766	0.137437581	0.396922605	0.000952417	non-DEI	D5/D6	D5-EIF2AX
ENST00000382247	0.066943187	0.082052692	0.072250351	0.293894567	0.100010031	non-DEI	D5/D6	D5-DCAF16
ENST00000392456	0.789038108	0.985462104	0.861278439	-0.498428778	0.006612293	non-DEI	D5/D6	D5-CCDC50
ENST00000223273	0.062244866	0.051019798	0.060461231	-0.077245246	0.521672096	non-DEI	D5/D6	D5-YAE1
ENST00000294507	8.573662873	7.978832574	7.50113188	-0.39879843	0.002698535	non-DEI	D5/D6	D5-LAPTM5
ENST00000269397	0.167830349	0.157126871	0.128950345	0.320333828	0.143622751	non-DEI	D5/D6	D5-CBX4
ENST00000447079	0.098879657	0.098268838	0.099589816	0.296979707	0.001246596	non-DEI	D5/D6	D5-CDK12
ENST00000220507	0.045756465	0.049470559	0.047559611	-0.759172069	2.8169E-05	non-DEI	D5/D6	D5-RHOV
ENST00000291906	0.043247184	0.03966812	0.038856469	0.109840653	0.116217311	non-DEI	D5/D6	D5-PKN3
ENST00000260197	0.872481202	0.848204238	0.763492213	0.235485439	0.021214929	non-DEI	D5/D6	D5-SDRL1
ENST00000238508	0.205942304	0.171424881	0.230906356	0.322818712	0.092077235	non-DEI	D5/D6	D5-SERPINB10
ENST00000349499	0.37049791	0.463110119	0.350150205	1.32895464	0.013505145	up-regulate	D5/D6	D5-CLIC6
ENST00000327355	0.05540216	0.055792685	0.059517222	-0.016142006	0.813314013	non-DEI	D5/D6	D5-FAM174B
ENST00000302277	0.011117234	0.011633881	0.011444078	1.018403447	1.47755E-05	up-regulate	D5/D6	D5-ZNF804A
ENST00000250916	0.099091398		0.099678598	0.556941499	0.045460524	non-DEI	D5/D6	D5-KLF16
ENST00000318528	0.013013997	0.011533724	0.011947196	-1.278511981	6.31701E-05	down-regulate	D5/D6	D5-ERICH5
ENST00000227451	0.460633416	0.43410211	0.438601806	1.117683131	1.39296E-05	up-regulate	D5/D6	D5-DTX4
ENST00000355085	0.030588949	0.030481525	0.029750035	1.178741049	1.25922E-05	up-regulate	D5/D6	D5-C5AR1
ENST00000264538	0.040950859	0.039660202	0.040119062	-0.380438827	0.000137577	non-DEI	D5/D6	D5-IFT57
ENST00000274026	0.021150817	0.021372656	0.021303963	-0.556951403	0.004693768	non-DEI	D5/D6	D5-CCNA2
ENST00000361453	47.75003122	45.48712059	44.55646599	0.427303224	0.000874134	non-DEI	D5/D6	D5-MT-ND2
ENST00000312184	0.032378498	0.032887666	0.034422049	0.297777873	0.000669168	non-DEI	D5/D6	D5-TMEM70
ENST00000284311	1.043051281	1.052029697	1.04229449	-0.34339591	0.01004582	non-DEI	D5/D6	D5-GPR15
ENST00000381401	1.396431462	1.443061558	1.47557124	0.286423997	0.006254131	non-DEI	D5/D6	D5-SLC25A6
ENST00000370141	0.179784866	0.167089565	0.164998205	0.259302144	0.006181947	non-DEI	D5/D6	D5-TRMT13
ENST00000357164	0.987935413	0.96392887	0.987838764	0.305379137	0.000318995	non-DEI	D5/D6	D5-GM2A
ENST00000228438	0.002490733	0.002708211	0.002817746	-2.078502595	0.000422773	down-regulate	D5/D6	D5-CLEC2B
ENST00000369448	0.026145773	0.026352326	0.026241317	-1.435283374	0.000145329	down-regulate	D5/D6	D5-TENT5C
ENST00000393067	2.637940739	2.698667364	2.536988114	-0.069342206	0.102198713	non-DEI	D5/D6	D5-POU2AF1
ENST00000379638	0.249968603		0.243886377	0.28868551	0.000942116	non-DEI	D5/D6	D5-REEP5
ENST00000299977	0.285281539	0.259435484	0.271581166	-0.244887638	0.008745057	non-DEI	D5/D6	D5-SLFN5
ENST00000319332	0.014184718	0.015926285	0.017416345	-1.445062851	5.76348E-05	down-regulate	D5/D6	D5-P3H2
ENST00000291750	0.107934861	0.113863513	0.114862157	0.038405023	0.305186819	non-DEI	D5/D6	D5-ZNF626
ENST00000266646	0.000113066	0.000108368	0.000135445	-0.86004094	0.00292943	non-DEI	D5/D6	D5-INHBE
ENST00000372715	0.077379027	0.080112728	0.072798798	0.339900217	0.00173265	non-DEI	D5/D6	D5-DYNC2I2
ENST00000264233	0.007789511	0.008319132	0.007990932	-0.451249852	0.000853486	non-DEI	D5/D6	D5-POLQ
ENST00000374279	0.858300276	0.810473248	0.859240352	0.699710158	0.000121013	non-DEI	D5/D6	D5-UGCG
ENST00000296658	0.003591711	0.003545922	0.00362946	-0.241560915	0.000103058	non-DEI	D5/D6	D5-CMBL
ENST00000304661	0.041589057	0.047368723	0.047151912	-0.355547335	0.018440827	non-DEI	D5/D6	D5-C1GALT1C1
ENST00000262352	0.044067683	0.043387263	0.045538423	-1.539005099	5.8145E-07	down-regulate	D5/D6	D5-SLC1A1
ENST00000355653	0.135491823	0.134830838	0.135356826	0.495635741	0.000864065	non-DEI	D5/D6	D5-VAT1
ENST00000539680	0.039627602	0.041237719	0.040371903	0.567261593	0.00011332	non-DEI	D5/D6	D5-ECHDC2
ENST00000647941	0.251974339	0.237404445	0.240489853	0.252249604	0.001917708	non-DEI	D5/D6	D5-CPOX
ENST00000199448	0.009694103	0.009378784	0.009322462	0.000324095	0.99862191	non-DEI	D5/D6	D5-EPDR1
ENST00000269385	0.080267831	0.077438998	0.078063049	1.203828527	3.03915E-06	up-regulate	D5/D6	D5-CBX8
ENST00000246115	0.037442149	0.037648791	0.035637805	-0.58697908	0.000117332	non-DEI	D5/D6	D5-S1PR4
ENST00000376215	0.162289145	0.160365324	0.158801336	0.728207557	8.89534E-06	non-DEI	D5/D6	D5-PDSS1
